0.038892867
[(2, 49330053.47673777), (4, 94834371.76970421), (8, 129839170.81589377), (16, 111503852.45810242), (32, 101563065.73801461), (64, 93508473.45733929)]
[(2, 48323916.37121022), (4, 95338563.92474546), (8, 127238458.48571728), (16, 103480365.48023324), (32, 102167096.94339544), (64, 73888580.89665419)]
[(2, 48961696.2368383), (4, 94093789.30179963), (8, 131603848.2018045), (16, 104217907.13767603), (32, 105179811.19803171), (64, 91969761.44607367)]
[(2, 49360424.63786107), (4, 95955826.54333913), (8, 131031425.65991029), (16, 92469941.48964453), (32, 97249908.73096065), (64, 92824171.71135099)]
[(2, 49014105.769499406), (4, 94838122.23173448), (8, 130680621.26612794), (16, 112327442.58270445), (32, 111802397.7589433), (64, 85218850.1028549)]
[(2, 49460492.36832022), (4, 95515034.2574222), (8, 131323937.0180904), (16, 118663643.27525419), (32, 84990116.49935229), (64, 81185865.7031528)]
[(2, 46037355.35465775), (4, 94907707.94848259), (8, 130004676.26820536), (16, 95898654.3021335), (32, 103618073.72757524), (64, 86474782.0078839)]
[(2, 49525179.81478474), (4, 96860058.42792444), (8, 129138284.7620569), (16, 89968203.4375411), (32, 96290319.1638919), (64, 83410863.73117146)]
[(2, 50871823.506109476), (4, 95832402.16182566), (8, 131393216.14197195), (16, 114190955.3683509), (32, 89575362.61898296), (64, 89129808.74258251)]
[(2, 50095062.89610479), (4, 95520280.34056036), (8, 128496782.95454195), (16, 96909178.65594721), (32, 100437193.0576607), (64, 83278466.70352016)]
